"タイトル","日程","会場","開場","開演","出演","出演形式","出演回数"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","17:20","18:00","小片リサ","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","17:20","18:00","Bitter & Sweet","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","17:20","18:00","八木栞","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","17:20","18:00","福田真琳","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","20:20","21:00","小片リサ","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","20:20","21:00","Bitter & Sweet","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","20:20","21:00","八木栞","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/01/27","COTTON CLUB（東京）","20:20","21:00","福田真琳","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","14:00","14:45","宮本佳林","出演","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","14:00","14:45","橋田歩果","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","14:00","14:45","村越彩菜","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","14:00","14:45","植村葉純","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","14:00","14:45","川嶋美楓","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","17:15","18:00","宮本佳林","出演","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","17:15","18:00","橋田歩果","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","17:15","18:00","村越彩菜","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","17:15","18:00","植村葉純","サポート","1"
"宮本佳林 LIVE 2023～ヒトリトイロ～","2023/02/05","めぐろパーシモンホール 大ホール (東京)","17:15","18:00","川嶋美楓","サポート","1"
"小関舞バースデーイベント2023","2023/02/08","横浜ランドマークホール（神奈川）","16:00","16:45","小関舞","出演","1"
"小関舞バースデーイベント2023","2023/02/08","横浜ランドマークホール（神奈川）","18:15","19:00","小関舞","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","13:30","14:15","夏焼雅","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","13:30","14:15","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","13:30","14:15","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","13:30","14:15","Bitter & Sweet","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","13:30","14:15","佐々木莉佳子","ゲスト出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","16:45","17:30","夏焼雅","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","16:45","17:30","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","16:45","17:30","小片リサ","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","16:45","17:30","Bitter & Sweet","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/02/26","仙台GIGS (宮城)","16:45","17:30","佐々木莉佳子","ゲスト出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/06","第一ホテル両国「清澄」 (東京)","20:30","21:00","小片リサ","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/06","第一ホテル両国「清澄」 (東京)","20:30","21:00","Bitter & Sweet","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/06","第一ホテル両国「清澄」 (東京)","20:30","21:00","八木栞","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/06","第一ホテル両国「清澄」 (東京)","20:30","21:00","福田真琳","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/07","第一ホテル両国「清澄」 (東京)","20:30","21:00","小片リサ","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/07","第一ホテル両国「清澄」 (東京)","20:30","21:00","Bitter & Sweet","出演","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/07","第一ホテル両国「清澄」 (東京)","20:30","21:00","八木栞","サポート","1"
"RISA OGATA CONCERT 2023「Coeur à coeur」","2023/03/07","第一ホテル両国「清澄」 (東京)","20:30","21:00","福田真琳","サポート","1"
"M-line Special 2023 ～Magical Wish～","2023/03/21","横浜ランドマークホール (神奈川)","14:00","14:45","夏焼雅","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/03/21","横浜ランドマークホール (神奈川)","14:00","14:45","宮本佳林","出演","1"
"M-line Special 2023 ～Magical Wish～","2023/03/21","横浜ランドマークホール (神奈川)","14:00","14:45","小片リサ","出演","1"
